[Statistics]
,Count (Target area),Unit,Count (1st),Unit,Area (target area),Unit,Area (1st integration),Unit,Brightness (1st integration),Area ratio (1st),Unit
Average,37,pcs,2892,pcs,40315,µm2,7643,µm2,766313,24,%
Total,3901,pcs,306561,pcs,4273344,µm2,810185,µm2,81229198,19,%
[Main]
Name,Count (Target area),Unit,Count (1st),Unit,Area (target area),Unit,Area (1st integration),Unit,Brightness (1st integration),Area ratio (1st),Unit,Conditions file
5303 NBM4_Overlay.jpg,33,pcs,1420,pcs,25292,µm2,14064,µm2,1022009,56,%,Clean_OXTR_Coll.mcd
5346 NBM1_Overlay.jpg,20,pcs,607,pcs,7488,µm2,2965,µm2,168533,40,%,Clean_OXTR_Coll.mcd
5346 NBM2_Overlay.jpg,8,pcs,617,pcs,5111,µm2,1755,µm2,118223,34,%,Clean_OXTR_Coll.mcd
5376 NBM2_Overlay.jpg,50,pcs,4349,pcs,39836,µm2,10411,µm2,1150902,26,%,Clean_OXTR_Coll.mcd
5376 NBM3_Overlay.jpg,45,pcs,4956,pcs,42029,µm2,11306,µm2,1194937,27,%,Clean_OXTR_Coll.mcd
5376 NBM4_Overlay.jpg,48,pcs,4509,pcs,37782,µm2,10518,µm2,1072217,28,%,Clean_OXTR_Coll.mcd
5401-1 NBM1_Overlay.jpg,11,pcs,508,pcs,3925,µm2,1035,µm2,77675,26,%,Clean_OXTR_Coll.mcd
5401-1 NBM2_Overlay.jpg,7,pcs,117,pcs,1067,µm2,342,µm2,20195,32,%,Clean_OXTR_Coll.mcd
5401-1 NBM3_Overlay.jpg,24,pcs,1018,pcs,8042,µm2,2645,µm2,170076,33,%,Clean_OXTR_Coll.mcd
5401-1 NBM4_Overlay.jpg,9,pcs,179,pcs,2112,µm2,1125,µm2,66837,53,%,Clean_OXTR_Coll.mcd
5403 NBM1_Overlay.jpg,25,pcs,2523,pcs,20537,µm2,5085,µm2,492339,25,%,Clean_OXTR_Coll.mcd
5403 NBM2_Overlay.jpg,40,pcs,2808,pcs,24349,µm2,5669,µm2,454224,23,%,Clean_OXTR_Coll.mcd
5403 NBM3_Overlay.jpg,58,pcs,5245,pcs,44437,µm2,9437,µm2,842125,21,%,Clean_OXTR_Coll.mcd
5403 NBM4_Overlay.jpg,42,pcs,2876,pcs,25395,µm2,6574,µm2,638416,26,%,Clean_OXTR_Coll.mcd
5419 RR NBM1_Overlay.jpg,43,pcs,5527,pcs,165241,µm2,9984,µm2,1161086,6,%,Clean_OXTR_Coll.mcd
5419 RR NBM2_Overlay.jpg,58,pcs,4494,pcs,124492,µm2,10974,µm2,1313570,9,%,Clean_OXTR_Coll.mcd
5419 RR NBM3_Overlay.jpg,36,pcs,1649,pcs,28473,µm2,6983,µm2,847620,25,%,Clean_OXTR_Coll.mcd
5419 RR NBM4_Overlay.jpg,65,pcs,3682,pcs,70918,µm2,13093,µm2,1662017,18,%,Clean_OXTR_Coll.mcd
5554 RR NBM1_Overlay.jpg,63,pcs,9452,pcs,108772,µm2,21951,µm2,2522409,20,%,Clean_OXTR_Coll.mcd
5554 RR NBM2_Overlay.jpg,51,pcs,5516,pcs,64329,µm2,13907,µm2,1623155,22,%,Clean_OXTR_Coll.mcd
5554 RR NBM3_Overlay.jpg,51,pcs,8541,pcs,97943,µm2,20870,µm2,2449046,21,%,Clean_OXTR_Coll.mcd
5554 RR NBM4_Overlay.jpg,44,pcs,5784,pcs,70518,µm2,16052,µm2,1945658,23,%,Clean_OXTR_Coll.mcd
5559 RR NBM1_Overlay.jpg,44,pcs,1176,pcs,34403,µm2,1900,µm2,194654,6,%,Clean_OXTR_Coll.mcd
5559 RR NBM2_Overlay.jpg,40,pcs,2049,pcs,84856,µm2,3340,µm2,351791,4,%,Clean_OXTR_Coll.mcd
5559 RR NBM3_Overlay.jpg,9,pcs,575,pcs,6319,µm2,843,µm2,93499,13,%,Clean_OXTR_Coll.mcd
5565 RR NBM1_Overlay.jpg,11,pcs,1056,pcs,9221,µm2,1520,µm2,164843,16,%,Clean_OXTR_Coll.mcd
5565 RR NBM2_Overlay.jpg,13,pcs,1127,pcs,10687,µm2,1556,µm2,167474,15,%,Clean_OXTR_Coll.mcd
5565 RR NBM3_Overlay.jpg,30,pcs,3059,pcs,32314,µm2,3736,µm2,383118,12,%,Clean_OXTR_Coll.mcd
5565 RR NBM4_Overlay.jpg,19,pcs,1072,pcs,10582,µm2,1423,µm2,144600,13,%,Clean_OXTR_Coll.mcd
5566 RR NBM1_Overlay.jpg,36,pcs,4985,pcs,133466,µm2,7524,µm2,653434,6,%,Clean_OXTR_Coll.mcd
5566 RR NBM2_Overlay.jpg,39,pcs,2845,pcs,232941,µm2,4990,µm2,475643,2,%,Clean_OXTR_Coll.mcd
5566 RR NBM3_Overlay.jpg,19,pcs,1205,pcs,12996,µm2,1800,µm2,166364,14,%,Clean_OXTR_Coll.mcd
5566 RR NBM4_Overlay.jpg,25,pcs,1071,pcs,15811,µm2,2382,µm2,220228,15,%,Clean_OXTR_Coll.mcd
5577 RR NBM1_Overlay.jpg,41,pcs,2482,pcs,39900,µm2,3771,µm2,315174,9,%,Clean_OXTR_Coll.mcd
5577 RR NBM2_Overlay.jpg,56,pcs,3067,pcs,92181,µm2,4093,µm2,298477,4,%,Clean_OXTR_Coll.mcd
5577 RR NBM3_Overlay.jpg,46,pcs,1725,pcs,28764,µm2,2600,µm2,194763,9,%,Clean_OXTR_Coll.mcd
