[Statistics]
,Count,Unit,Area (integration),Unit,Brightness (integration),Position correction value (X),Position correction value (Y)
Average,5046,pcs,10650,µm2,958152,0,0
Total,534913,pcs,1128945,µm2,101564109,0,0
[Main]
Name,Count,Unit,Area (integration),Unit,Brightness (integration),Position correction value (X),Position correction value (Y),Conditions file
5419 RR NBM2_Overlay.jpg,5045,pcs,11447,µm2,1346711,0,0,Clean_OXTR.mcd
5419 RR NBM3_Overlay.jpg,2554,pcs,7888,µm2,903572,0,0,Clean_OXTR.mcd
5419 RR NBM4_Overlay.jpg,4844,pcs,14292,µm2,1740668,0,0,Clean_OXTR.mcd
5554 RR NBM1_Overlay.jpg,11427,pcs,23808,µm2,2641509,0,0,Clean_OXTR.mcd
5554 RR NBM2_Overlay.jpg,7530,pcs,15861,µm2,1750099,0,0,Clean_OXTR.mcd
5554 RR NBM3_Overlay.jpg,10585,pcs,22869,µm2,2576655,0,0,Clean_OXTR.mcd
5554 RR NBM4_Overlay.jpg,7971,pcs,18249,µm2,2098912,0,0,Clean_OXTR.mcd
5559 RR NBM1_Overlay.jpg,2066,pcs,2662,µm2,241593,0,0,Clean_OXTR.mcd
5559 RR NBM2_Overlay.jpg,2832,pcs,3978,µm2,391991,0,0,Clean_OXTR.mcd
5559 RR NBM3_Overlay.jpg,1350,pcs,1516,µm2,131833,0,0,Clean_OXTR.mcd
5565 RR NBM1_Overlay.jpg,1892,pcs,2310,µm2,215013,0,0,Clean_OXTR.mcd
5565 RR NBM2_Overlay.jpg,2076,pcs,2297,µm2,220158,0,0,Clean_OXTR.mcd
5565 RR NBM3_Overlay.jpg,4105,pcs,4555,µm2,438486,0,0,Clean_OXTR.mcd
5565 RR NBM4_Overlay.jpg,1851,pcs,2123,µm2,188931,0,0,Clean_OXTR.mcd
5566 RR NBM1_Overlay.jpg,5704,pcs,8123,µm2,687111,0,0,Clean_OXTR.mcd
5566 RR NBM2_Overlay.jpg,3001,pcs,5099,µm2,481531,0,0,Clean_OXTR.mcd
5566 RR NBM3_Overlay.jpg,2367,pcs,2923,µm2,231775,0,0,Clean_OXTR.mcd
5566 RR NBM4_Overlay.jpg,1799,pcs,3057,µm2,259689,0,0,Clean_OXTR.mcd
5577 RR NBM1_Overlay.jpg,3183,pcs,4307,µm2,345874,0,0,Clean_OXTR.mcd
5577 RR NBM2_Overlay.jpg,3542,pcs,4451,µm2,318129,0,0,Clean_OXTR.mcd
5577 RR NBM3_Overlay.jpg,2524,pcs,3364,µm2,233139,0,0,Clean_OXTR.mcd
5577 RR NBM4_Overlay.jpg,2888,pcs,3917,µm2,272526,0,0,Clean_OXTR.mcd
5643 RR NBM1_Overlay.jpg,1113,pcs,1572,µm2,124638,0,0,Clean_OXTR.mcd
5643 RR NBM2_Overlay.jpg,1314,pcs,2084,µm2,159790,0,0,Clean_OXTR.mcd
5643 RR NBM3_Overlay.jpg,690,pcs,1088,µm2,98449,0,0,Clean_OXTR.mcd
5669 RR NBM1_Overlay.jpg,4015,pcs,6875,µm2,671531,0,0,Clean_OXTR.mcd
5669 RR NBM2_Overlay.jpg,2044,pcs,4311,µm2,395122,0,0,Clean_OXTR.mcd
5669 RR NBM3_Overlay.jpg,3924,pcs,8188,µm2,755593,0,0,Clean_OXTR.mcd
5669 RR NBM4_Overlay.jpg,4550,pcs,10017,µm2,772561,0,0,Clean_OXTR.mcd
5708 RR NBM1_Overlay.jpg,4610,pcs,4104,µm2,345260,0,0,Clean_OXTR.mcd
5708 RR NBM2_Overlay.jpg,3785,pcs,3272,µm2,266542,0,0,Clean_OXTR.mcd
5708 RR NBM3_Overlay.jpg,1520,pcs,1216,µm2,95456,0,0,Clean_OXTR.mcd
5813 RR NBM1_Overlay.jpg,1654,pcs,2548,µm2,164428,0,0,Clean_OXTR.mcd
5813 RR NBM2_Overlay.jpg,3140,pcs,4755,µm2,389433,0,0,Clean_OXTR.mcd
5813 RR NBM3_Overlay.jpg,2820,pcs,4171,µm2,329476,0,0,Clean_OXTR.mcd
5813 RR NBM4_Overlay.jpg,1509,pcs,2469,µm2,160572,0,0,Clean_OXTR.mcd
5817 RR NBM1_Overlay.jpg,6744,pcs,9420,µm2,1026537,0,0,Clean_OXTR.mcd
5817 RR NBM2_Overlay.jpg,7623,pcs,10188,µm2,1064574,0,0,Clean_OXTR.mcd
5817 RR NBM3_Overlay.jpg,7151,pcs,8968,µm2,935501,0,0,Clean_OXTR.mcd
5817 RR NBM4_Overlay.jpg,6515,pcs,8630,µm2,908329,0,0,Clean_OXTR.mcd
5841 RR NBM1_Overlay.jpg,5383,pcs,11941,µm2,1054646,0,0,Clean_OXTR.mcd
5841 RR NBM2_Overlay.jpg,3819,pcs,9706,µm2,780811,0,0,Clean_OXTR.mcd
5841 RR NBM3_Overlay.jpg,5147,pcs,14415,µm2,1265917,0,0,Clean_OXTR.mcd
5841 RR NBM4_Overlay.jpg,6647,pcs,19633,µm2,1603326,0,0,Clean_OXTR.mcd
5864 RR NBM1_Overlay.jpg,2438,pcs,2413,µm2,190654,0,0,Clean_OXTR.mcd
5864 RR NBM2_Overlay.jpg,3404,pcs,3270,µm2,270375,0,0,Clean_OXTR.mcd
5864 RR NBM3_Overlay.jpg,1760,pcs,2009,µm2,151697,0,0,Clean_OXTR.mcd
5864 RR NBM4_Overlay.jpg,1280,pcs,1373,µm2,93445,0,0,Clean_OXTR.mcd
