[Statistics]
,Count,Unit,Area (integration),Unit,Brightness (integration),Position correction value (X),Position correction value (Y)
Average,2171,pcs,4090,µm2,253040,0,0
Total,173691,pcs,327207,µm2,20243226,0,0
[Main]
Name,Count,Unit,Area (integration),Unit,Brightness (integration),Position correction value (X),Position correction value (Y),Conditions file
5566 RR VP1_Overlay.jpg,1299,pcs,1483,µm2,59638,0,0,Clean_OXTR.mcd
5566 RR VP2_Overlay.jpg,1046,pcs,1351,µm2,59023,0,0,Clean_OXTR.mcd
5566 RR VP3_Overlay.jpg,1145,pcs,1395,µm2,57038,0,0,Clean_OXTR.mcd
5566 RR VP4_Overlay.jpg,1227,pcs,1538,µm2,62146,0,0,Clean_OXTR.mcd
5577 RR VP1_Overlay.jpg,625,pcs,811,µm2,36411,0,0,Clean_OXTR.mcd
5577 RR VP2_Overlay.jpg,494,pcs,678,µm2,34112,0,0,Clean_OXTR.mcd
5577 RR VP3_Overlay.jpg,763,pcs,890,µm2,37922,0,0,Clean_OXTR.mcd
5577 RR VP4_Overlay.jpg,1034,pcs,1403,µm2,57537,0,0,Clean_OXTR.mcd
5643 RR VP1_Overlay.jpg,2129,pcs,2495,µm2,99654,0,0,Clean_OXTR.mcd
5643 RR VP2_Overlay.jpg,1337,pcs,1516,µm2,61992,0,0,Clean_OXTR.mcd
5643 RR VP3_Overlay.jpg,809,pcs,1082,µm2,41197,0,0,Clean_OXTR.mcd
5643 RR VP4_Overlay.jpg,1728,pcs,2138,µm2,91074,0,0,Clean_OXTR.mcd
5813 RR VP1_Overlay.jpg,1522,pcs,3222,µm2,150783,0,0,Clean_OXTR.mcd
5813 RR VP2_Overlay.jpg,1194,pcs,2172,µm2,102996,0,0,Clean_OXTR.mcd
5813 RR VP3_Overlay.jpg,932,pcs,2103,µm2,94184,0,0,Clean_OXTR.mcd
5813 RR VP4_Overlay.jpg,651,pcs,1947,µm2,90592,0,0,Clean_OXTR.mcd
5817 RR VP1_Overlay.jpg,1048,pcs,1226,µm2,56261,0,0,Clean_OXTR.mcd
5817 RR VP2_Overlay.jpg,992,pcs,1152,µm2,54631,0,0,Clean_OXTR.mcd
5817 RR VP3_Overlay.jpg,1154,pcs,1279,µm2,59013,0,0,Clean_OXTR.mcd
5817 RR VP4_Overlay.jpg,841,pcs,903,µm2,42110,0,0,Clean_OXTR.mcd
